,rental_id,car_id,checkin_type,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout_in_minutes_previous,checkin_type_previous,type_issame,overlap,previous_late,impacted
4,511639,370585,connect,-15.0,563782.0,570.0,136.0,connect,True,-434.0,True,False
13,519491,312389,mobile,58.0,545639.0,420.0,140.0,mobile,True,-280.0,True,False
24,525044,349751,mobile,,510607.0,60.0,-113.0,mobile,True,-173.0,False,False
30,528808,181625,connect,-76.0,557404.0,330.0,-352.0,connect,True,-682.0,False,False
50,533670,320824,connect,-6.0,556563.0,630.0,23.0,connect,True,-607.0,True,False
58,534827,404169,mobile,-7.0,531158.0,90.0,29.0,mobile,True,-61.0,True,False
70,535611,397814,mobile,68.0,535512.0,300.0,44.0,mobile,True,-256.0,True,False
73,535770,352436,mobile,74.0,524703.0,60.0,7.0,mobile,True,-53.0,True,False
85,537576,397470,mobile,18.0,539005.0,0.0,-29.0,mobile,True,-29.0,False,False
118,540217,398802,mobile,-988.0,543426.0,720.0,51.0,mobile,True,-669.0,True,False
124,540479,374684,mobile,12.0,539751.0,0.0,3.0,mobile,True,3.0,True,True
138,541862,382364,mobile,125.0,540607.0,0.0,1.0,mobile,True,1.0,True,True
149,542374,409676,mobile,50.0,540444.0,180.0,131.0,mobile,True,-49.0,True,False
166,543328,358772,connect,-9.0,552619.0,240.0,-38.0,connect,True,-278.0,False,False
172,543679,225795,connect,64.0,540663.0,540.0,60.0,connect,True,-480.0,True,False
176,543808,369230,mobile,75.0,536315.0,60.0,-191.0,mobile,True,-251.0,False,False
209,546477,383309,mobile,16.0,548486.0,660.0,-3.0,mobile,True,-663.0,False,False
226,547188,231676,mobile,266.0,535868.0,30.0,16.0,mobile,True,-14.0,True,False
242,548912,411521,mobile,225.0,553683.0,60.0,42.0,mobile,True,-18.0,True,False
267,550248,382901,mobile,-127.0,545782.0,60.0,-9.0,mobile,True,-69.0,False,False
271,550723,380886,mobile,,545855.0,120.0,74.0,mobile,True,-46.0,True,False
276,551069,359880,connect,-22.0,549192.0,180.0,45.0,connect,True,-135.0,True,False
295,552330,384657,connect,23.0,554800.0,0.0,-672.0,connect,True,-672.0,False,False
296,552342,376619,mobile,-965.0,547312.0,0.0,-77.0,mobile,True,-77.0,False,False
298,552425,385625,connect,-102.0,550476.0,30.0,-236.0,connect,True,-266.0,False,False
312,553367,385783,mobile,24.0,519328.0,150.0,-4.0,mobile,True,-154.0,False,False
326,554695,402993,mobile,17.0,560722.0,720.0,-33.0,mobile,True,-753.0,False,False
355,557674,375915,mobile,15.0,550183.0,480.0,-1333.0,mobile,True,-1813.0,False,False
362,558088,245154,connect,-40.0,566170.0,180.0,-2.0,connect,True,-182.0,False,False
363,558250,375126,connect,-4.0,549813.0,600.0,-58.0,connect,True,-658.0,False,False
365,558525,297962,connect,-256.0,555341.0,30.0,-24.0,connect,True,-54.0,False,False
376,559428,289720,connect,-16.0,520878.0,90.0,-42.0,connect,True,-132.0,False,False
377,559435,281955,mobile,18.0,553797.0,60.0,-9.0,mobile,True,-69.0,False,False
378,559781,408776,mobile,44.0,540868.0,0.0,26.0,mobile,True,26.0,True,True
395,561368,249274,connect,-3.0,558711.0,30.0,10.0,connect,True,-20.0,True,False
397,561408,310444,connect,-54.0,545475.0,360.0,54.0,connect,True,-306.0,True,False
398,561450,192179,connect,7.0,541144.0,540.0,46.0,connect,True,-494.0,True,False
417,563552,241021,connect,25.0,567278.0,60.0,-425.0,connect,True,-485.0,False,False
422,564045,381123,mobile,99.0,554558.0,660.0,-13.0,mobile,True,-673.0,False,False
425,564414,195888,mobile,20.0,564484.0,180.0,-347.0,mobile,True,-527.0,False,False
427,564500,382884,mobile,69.0,555024.0,420.0,63.0,mobile,True,-357.0,True,False
462,520147,392147,mobile,1.0,536236.0,390.0,3.0,mobile,True,-387.0,True,False
470,524487,380866,mobile,-15.0,545830.0,120.0,58.0,mobile,True,-62.0,True,False
476,529239,354515,mobile,10.0,565896.0,360.0,-405.0,mobile,True,-765.0,False,False
504,566661,390467,connect,-651.0,569297.0,570.0,-451.0,connect,True,-1021.0,False,False
512,567120,415953,mobile,27.0,567178.0,150.0,145.0,mobile,True,-5.0,True,False
514,567278,241021,connect,-425.0,563925.0,240.0,-31.0,connect,True,-271.0,False,False
522,567636,376840,connect,101.0,564959.0,0.0,-2.0,connect,True,-2.0,False,False
533,568817,314605,mobile,43.0,565775.0,360.0,8.0,mobile,True,-352.0,True,False
539,569498,402528,connect,-173.0,562527.0,630.0,-203.0,connect,True,-833.0,False,False
542,570350,365926,connect,-55.0,570337.0,60.0,-37.0,connect,True,-97.0,False,False
545,570819,353425,connect,-17.0,573393.0,120.0,-551.0,connect,True,-671.0,False,False
564,522507,390927,connect,183.0,523328.0,510.0,-133.0,connect,True,-643.0,False,False
577,527981,358978,connect,-60.0,541898.0,210.0,-45.0,connect,True,-255.0,False,False
578,529128,382700,mobile,6.0,506728.0,0.0,-67.0,mobile,True,-67.0,False,False
579,529233,399528,connect,-53.0,529252.0,480.0,-104.0,connect,True,-584.0,False,False
